MOVIEID,TITLE,GENRES,TOTALRATERS,TOTALRATINGS,AVGRATING,AVGGENOMERELEVANCE,TAGCOUNT,OPPORTUNITYTYPE,PRIORITYSCORE,ACTIONPRIORITY,RECOMMENDEDACTION
96789,"Hamburg Syndrome, The (Die Hamburger Krankheit) (1979)",Adventure|Sci-Fi,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
105308,Scanners II: The New Order (1991),Action|Horror|Sci-Fi,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
130834,Dancers (1987),(no genres listed),1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
130510,Berserk: The Golden Age Arc 3 - Descent (2013),Action|Animation|Fantasy,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
66904,Playing for Keeps (1986),Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
7148,Love Don't Cost a Thing (2003),Drama|Romance,71,71,2.5,0.071,1128,Standard,6,STANDARD,Monitor standard performance metrics.
106090,Tortured (2008),Crime|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
108445,Concussion (2013),Drama,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
90815,Actresses (Actrices) (2007),Comedy|Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
98449,"Burning Hot Summer, A (Un été brûlant) (2011)",Drama,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
104601,"Stranger Within, The (2013)",Thriller,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
126751,Karlsson on the Roof (1974),Children,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
90308,Snow (Snijeg) (2008),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
94218,Super Demetrios (2012),Adventure|Comedy|Sci-Fi,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
93406,Police (1916),Comedy,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
93191,I Saw Mommy Kissing Santa Claus (2002),Children|Comedy,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
119687,Little Witches (1996),Horror|Thriller,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
88055,"Missing Star, The (La stella che non c'è) (2006)",Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
5895,Making Contact (a.k.a. Joey) (1985),Fantasy|Horror|Sci-Fi,12,12,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
80557,Camp Hell (2010),Thriller,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
128977,"She No Longer Talks, She Shoots (1972)",Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
90339,"Last Days of Pompeii, The (Gli ultimi giorni di Pompeii) (1913)",Adventure|Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
46201,Bob the Butler (2005),Comedy,14,14,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
124639,Onionhead (1958),(no genres listed),1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
122950,Mare Nostrum (1926),War,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
116955,The Wild World of Lydia Lunch (1983),(no genres listed),1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
85863,Night People (1954),Adventure,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
31606,Siberia (1998),Comedy,8,8,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
119305,The Nutcracker Prince (1990),Adventure|Animation|Children|Fantasy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
69487,Anna Lucasta (1958),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
116909,The Oblong Box (1969),Horror,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
102523,To Be King (Koning van Katoren) (2012),Adventure,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
105236,Sorceress (1982),Action|Adventure|Fantasy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125353,In the Line of Duty: The F.B.I. Murders (1988),Action|Crime|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
115233,Berlin Babylon (2001),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
105748,"Place of One's Own, A (1945)",Drama|Mystery|Thriller,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
119137,The Last Train through Harecastle Tunnel (1969),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
66701,Beautiful Ohio (2006),Comedy|Drama,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
79083,Young Bess (1953),Drama|Romance,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
26992,Quicksilver Highway (1997),Horror|Thriller,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
47559,Drömkåken (1993),Comedy,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
76149,Ollin oppivuodet (1920),Drama,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
31750,Until September (1984),Drama|Romance,9,9,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
127192,The Bronze (2015),Comedy|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
57709,Thunder Rock (1942),Drama|Fantasy|War,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
119157,The Nativity (1978),Children|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
73447,I Live My Life (1935),Comedy|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
126002,Rage of Angels (1983),Action|Adventure|Drama|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
101944,Downeast (2012),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
88670,Change of Plans (Le code a changé) (2009),Comedy|Drama,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
98815,Mon Paradis - Der Winterpalast (2001),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
78696,"Moment After 2, The: The Awakening (2006)",Drama|Sci-Fi|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
6381,"Three Marias, The (Três Marias, As) (2002)",Drama,9,9,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
97808,"Woman That Dreamed About a Man, The (Kvinden der drømte om en mand) (2010)",Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
119428,With Love... from the Age of Reason (2010),Comedy|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
99519,Henry (2010),Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
34216,Rick (2003),Comedy|Drama,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
109643,Always Leave Them Laughing (1949),Comedy|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
122501,The Indian Fighter (1955),Action|Adventure|Drama|Western,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
128770,Cran d'arrêt (1970),Crime|Mystery|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
80746,Remote Control (1930),Comedy|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
8764,Under the Lighthouse Dancing (1997),Drama,6,6,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
115939,Joulupukki ja noitarumpu (1996),Animation|Children,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
65518,"Dungeonmaster, The (1985)",Fantasy|Horror|Sci-Fi,9,9,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
71266,Radio Inside (1994),Drama|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
79575,Solstice (1994),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
85785,"Curse of the Hedgehog, The (Blestemul ariciului) (2005)",Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
91069,"Good Morning, Miss Dove (1955)",Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
50821,Billy the Kid vs. Dracula (1966),Action|Drama|Horror,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
89936,Corruption (a.k.a. Carnage) (1968),Horror,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
80283,Babes on Broadway (1941),Comedy|Musical|Romance,7,7,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
115205,Recipe for Love (2014),Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
108758,Temptation (Tentação) (1997),Drama|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
116965,See Heaven (1995),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
80680,Monga (2010),Crime|Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
41704,"Shaft, The (a.k.a. Down) (2001)",Action|Horror|Mystery|Sci-Fi,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
121792,Snow Queen (2002),Adventure|Children|Fantasy,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
108389,We Need a Vacation (Fais-moi des vacances) (2002),Comedy|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
94945,Dr. Crippen (1964),Crime|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
46713,Desperate (1947),Drama|Film-Noir,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
114256,"Other One, The (2014)",Drama|Mystery,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
91492,Bathing Beauty (1944),Comedy|Musical,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
96105,Forest Warrior (1996),Action|Adventure|Comedy|Western,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
127636,The Strange Affair (1968),Crime|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
6656,Attack of the Puppet People (1958),Horror|Sci-Fi,40,40,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
27474,Double Vision (Shuang tong) (2002),Horror|Mystery|Thriller,6,6,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
128399,Un Poliziotto Scomodo (1978),Action|Crime|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
126010,Queen - Rock Montreal (2007),(no genres listed),1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
105455,Resurrecting the Street Walker (2009),Horror,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
60479,Sublime (2007),Horror|Thriller,24,24,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
115386,Charlie Chan's Chance (1932),Mystery,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
92872,Plans for Tomorrow (Planes para mañana) (2010),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
106348,Outside the Law (2002),Action,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
105040,Dragon Day (2013),Drama|Sci-Fi|Thriller,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
107102,My Amityville Horror (2012),Documentary,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
95901,Mysterious Origins of Man (1996),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
99693,Mein Kampf (2009),Comedy|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
100270,Love Loves Coincidences (2011),Drama|Romance,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
66491,Kimberly (1999),Comedy|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
99238,"Turn of the Screw, The (2009)",Drama|Horror|Mystery,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
98409,Budd Boetticher: An American Original (2005) ,Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
88894,"Lady is Willing, The (1942)",Comedy|Drama|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
96242,Viimeiset rotannahat (1985) ,Comedy,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
111351,Samaritan Zatoichi (Zatôichi kenka-daiko) (Zatôichi 19) (1968),Action|Adventure|Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125988,100 Years at the Movies (1994),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
99689,"Conversation with Gregory Peck, A (1999)",Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
112214,Born Reckless (1937),Action|Adventure|Crime|Drama|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
