TAGID,TAGNAME,MOVIESWITHTAG,AVGTAGRELEVANCE,AVGRATINGFORTAGGEDMOVIES,UNIQUEUSERSRATINGTAGGEDMOVIES,TOTALRATINGSFORTAGGEDMOVIES,RATINGVARIANCEFORTAGGEDMOVIES,RATINGLIFTVSAVERAGE,TAGEFFECTIVENESSLEVEL
924,skinhead,10381,0.023,4.06,85573,225209,0.9,15.16,Highly Effective
163,brilliant,10381,0.03,4.06,135507,2452331,0.89,15.16,Highly Effective
1078,vienna,10381,0.039,4.05,101108,769458,0.87,14.88,Highly Effective
31,afi 100,10381,0.027,4.05,132585,1890691,0.92,14.88,Highly Effective
407,francis ford copolla,10381,0.06,4.05,129487,1772810,0.9,14.88,Highly Effective
657,miyazaki,10381,0.008,4.04,20143,60213,0.86,14.59,Highly Effective
699,neo-nazis,10381,0.011,4.02,71748,134298,0.9,14.03,Highly Effective
976,studio ghibli,10381,0.011,4.02,20702,63990,0.87,14.03,Highly Effective
917,short-term memory loss,10381,0.029,4.01,120533,688795,0.9,13.74,Highly Effective
591,kubrick,10381,0.02,4,90721,598677,0.95,13.46,Highly Effective
593,kurosawa,10381,0.011,3.99,29389,67111,0.89,13.17,Highly Effective
764,palestine,10381,0.02,3.98,62475,118992,0.92,12.89,Highly Effective
696,nazi,10381,0.051,3.98,126425,1180089,0.92,12.89,Highly Effective
794,poland,10381,0.071,3.98,135658,2259052,0.91,12.89,Highly Effective
433,german,10381,0.08,3.98,125256,1649257,0.9,12.89,Highly Effective
515,holocaust,10381,0.029,3.98,100140,401554,0.89,12.89,Highly Effective
706,new zealand,10381,0.017,3.97,63571,167498,0.97,12.61,Highly Effective
633,marx brothers,10381,0.009,3.97,16410,37893,0.9,12.61,Highly Effective
430,genius,10381,0.047,3.97,136711,3243480,0.93,12.61,Highly Effective
15,aardman,10381,0.006,3.97,31921,68522,0.95,12.61,Highly Effective
571,italian,10381,0.023,3.97,83252,313123,0.96,12.61,Highly Effective
140,black and white,10381,0.126,3.97,137045,5056267,0.91,12.61,Highly Effective
