GENRE,TOTAL_MOVIES_IN_GENRE,UNIQUE_USERS_RATING_GENRE,TOTAL_RATINGS,AVG_RATING,RATING_STD_DEV,MIN_RATING,MAX_RATING,Q1_RATING,MEDIAN_RATING,Q3_RATING,AVG_RATINGS_PER_MOVIE,GENRE_RATING_PROFILE
War,1173,123985,1048618,3.81,0.98,0.5,5,3,4,4.5,893.96,Divisive
Documentary,2391,52393,244619,3.74,1,0.5,5,3,4,4.5,102.31,Highly Divisive
Action,3466,137967,5614208,3.44,1.06,0.5,5,3,3.5,4,1619.79,Highly Divisive
Sci-Fi,1720,135998,3150141,3.44,1.08,0.5,5,3,3.5,4,1831.48,Highly Divisive
Comedy,8232,138452,7502234,3.43,1.07,0.5,5,3,3.5,4,911.35,Highly Divisive
(no genres listed),242,158,361,3.01,1.2,0.5,5,2.5,3,4,1.49,Highly Divisive
Thriller,4129,137997,5313506,3.51,1.03,0.5,5,3,3.5,4,1286.87,Highly Divisive
Fantasy,1398,133361,2111403,3.51,1.07,0.5,5,3,3.5,4,1510.30,Highly Divisive
Adventure,2287,137887,4380351,3.5,1.05,0.5,5,3,3.5,4,1915.33,Highly Divisive
Drama,13062,138477,8857853,3.67,0.99,0.5,5,3,4,4.5,678.14,Divisive
Film-Noir,322,58519,216689,3.97,0.9,0.5,5,3.5,4,4.5,672.95,Divisive
Western,656,96614,423714,3.57,1.02,0.5,5,3,4,4,645.91,Highly Divisive
Musical,1016,114324,870915,3.56,1.05,0.5,5,3,4,4,857.20,Highly Divisive
Animation,1015,118687,1140476,3.62,1.01,0.5,5,3,4,4,1123.62,Highly Divisive
Children,1118,127649,1669249,3.41,1.09,0.5,5,3,3.5,4,1493.07,Highly Divisive
Horror,2590,121403,1482737,3.28,1.14,0.5,5,2.5,3.5,4,572.49,Highly Divisive
IMAX,195,91384,492366,3.66,0.98,0.5,5,3,4,4.5,2524.95,Divisive
Mystery,1489,128497,1557282,3.66,1,0.5,5,3,4,4.5,1045.86,Highly Divisive
Romance,4029,137755,3802002,3.54,1.03,0.5,5,3,4,4,943.66,Highly Divisive
Crime,2889,136965,3298335,3.67,1,0.5,5,3,4,4.5,1141.69,Highly Divisive
