USERID,MOVIES_RATED,TOTAL_RATINGS,AVG_RATING_GIVEN,RATING_VARIANCE,TOTAL_TAGS_APPLIED,TAGS_PER_MOVIE_RATIO,USER_ENGAGEMENT_TIER,RATING_STYLE,RATING_PATTERN,TAGGING_BEHAVIOR
103125,112,112,4.02,1.03,903,8.06,Regular User,Generous Rater,Moderate Variance,High Tagger
86485,59,59,1.31,1.3,304,5.15,Casual User,Very Critical Rater,Discriminating (High Variance),High Tagger
50798,62,62,3.49,0.86,294,4.74,Casual User,Critical Rater,Moderate Variance,High Tagger
41518,188,188,3.64,0.86,766,4.07,Power User,Balanced Rater,Moderate Variance,High Tagger
14440,160,160,3.63,1.22,649,4.06,Power User,Balanced Rater,Discriminating (High Variance),High Tagger
107711,211,211,4.21,0.79,802,3.80,Power User,Generous Rater,Consistent (Low Variance),High Tagger
4321,28,28,3.57,1.22,106,3.79,Light User,Balanced Rater,Discriminating (High Variance),High Tagger
77463,398,398,3.64,0.57,1439,3.62,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
14947,233,233,3.66,0.95,759,3.26,Power User,Balanced Rater,Moderate Variance,High Tagger
51966,98,98,2.97,1.02,311,3.17,Regular User,Very Critical Rater,Moderate Variance,High Tagger
108442,323,323,3.4,0.84,973,3.01,Power User,Critical Rater,Moderate Variance,High Tagger
25089,29,29,3.9,0.99,82,2.83,Light User,Balanced Rater,Moderate Variance,High Tagger
58612,1464,1464,3.2,1.06,3895,2.66,Power User,Critical Rater,Moderate Variance,High Tagger
120937,478,478,3.87,0.65,1260,2.64,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
72257,199,199,4.06,0.66,516,2.59,Power User,Generous Rater,Consistent (Low Variance),High Tagger
58579,61,61,4.35,0.63,154,2.52,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
51539,116,116,3.97,0.86,291,2.51,Regular User,Balanced Rater,Moderate Variance,High Tagger
68625,241,241,3.71,0.91,588,2.44,Power User,Balanced Rater,Moderate Variance,High Tagger
14809,76,76,4.01,0.56,185,2.43,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
23982,455,455,3.35,0.88,1081,2.38,Power User,Critical Rater,Moderate Variance,High Tagger
52814,856,856,3.23,0.69,2017,2.36,Power User,Critical Rater,Consistent (Low Variance),High Tagger
130827,1308,1308,3.03,0.94,2980,2.28,Power User,Critical Rater,Moderate Variance,High Tagger
2931,211,211,3.7,0.66,478,2.27,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
124998,1265,1265,2.54,0.96,2858,2.26,Power User,Very Critical Rater,Moderate Variance,High Tagger
138280,141,141,3.63,0.84,314,2.23,Regular User,Balanced Rater,Moderate Variance,High Tagger
49531,58,58,4.21,0.97,128,2.21,Casual User,Generous Rater,Moderate Variance,High Tagger
2299,162,162,3.67,0.98,351,2.17,Power User,Balanced Rater,Moderate Variance,High Tagger
119837,41,41,3.84,0.61,88,2.15,Casual User,Balanced Rater,Consistent (Low Variance),High Tagger
8127,87,87,3.3,1.26,186,2.14,Regular User,Critical Rater,Discriminating (High Variance),High Tagger
342,88,88,3.89,0.98,188,2.14,Regular User,Balanced Rater,Moderate Variance,High Tagger
81545,49,49,4.19,1.16,105,2.14,Casual User,Generous Rater,Moderate Variance,High Tagger
86204,293,293,3.15,1.44,620,2.12,Power User,Critical Rater,Discriminating (High Variance),High Tagger
73132,173,173,3.56,0.87,357,2.06,Power User,Balanced Rater,Moderate Variance,High Tagger
1741,990,990,3.02,1.09,2011,2.03,Power User,Critical Rater,Moderate Variance,High Tagger
22178,393,393,2.83,1.11,798,2.03,Power User,Very Critical Rater,Moderate Variance,High Tagger
101214,85,85,4.42,0.56,171,2.01,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
20290,21,21,4.21,0.76,42,2.00,Light User,Generous Rater,Consistent (Low Variance),High Tagger
63886,130,130,3.43,0.83,250,1.92,Regular User,Critical Rater,Moderate Variance,High Tagger
42668,21,21,3.81,1.02,39,1.86,Light User,Balanced Rater,Moderate Variance,High Tagger
123918,45,45,4.06,1.17,83,1.84,Casual User,Generous Rater,Moderate Variance,High Tagger
97439,59,59,3.19,1.37,107,1.81,Casual User,Critical Rater,Discriminating (High Variance),High Tagger
7606,47,47,4.3,0.66,85,1.81,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
14193,43,43,3.73,0.73,77,1.79,Casual User,Balanced Rater,Consistent (Low Variance),High Tagger
138345,28,28,3.04,1.22,50,1.79,Light User,Critical Rater,Discriminating (High Variance),High Tagger
130054,23,23,3.37,0.95,40,1.74,Light User,Critical Rater,Moderate Variance,High Tagger
123268,108,108,3.46,1.18,186,1.72,Regular User,Critical Rater,Moderate Variance,High Tagger
42601,199,199,3.63,0.86,341,1.71,Power User,Balanced Rater,Moderate Variance,High Tagger
115742,47,47,3.85,1.51,80,1.70,Casual User,Balanced Rater,Discriminating (High Variance),High Tagger
10616,1240,1240,3.65,0.86,2099,1.69,Power User,Balanced Rater,Moderate Variance,High Tagger
87813,334,334,3.83,0.95,561,1.68,Power User,Balanced Rater,Moderate Variance,High Tagger
127152,53,53,3.99,1,89,1.68,Casual User,Balanced Rater,Moderate Variance,High Tagger
71939,90,90,3.96,0.52,150,1.67,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
40785,50,50,3.72,1.23,83,1.66,Casual User,Balanced Rater,Discriminating (High Variance),High Tagger
28780,580,580,3.68,0.63,960,1.66,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
27898,1215,1215,3.19,0.88,1999,1.65,Power User,Critical Rater,Moderate Variance,High Tagger
125884,135,135,3.71,0.53,215,1.59,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
14088,103,103,3.37,0.79,164,1.59,Regular User,Critical Rater,Consistent (Low Variance),High Tagger
21980,21,21,3.71,0.5,33,1.57,Light User,Balanced Rater,Consistent (Low Variance),High Tagger
70329,27,27,3.06,1.64,42,1.56,Light User,Critical Rater,Discriminating (High Variance),High Tagger
53095,198,198,3.26,1.34,308,1.56,Power User,Critical Rater,Discriminating (High Variance),High Tagger
125206,93,93,4.05,0.55,145,1.56,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
100074,33,33,3.55,0.84,51,1.55,Light User,Balanced Rater,Moderate Variance,High Tagger
96969,38,38,3.75,1.13,59,1.55,Casual User,Balanced Rater,Moderate Variance,High Tagger
