movie_id,release_date
1,1995-10-20
2,1995-10-21
3,1995-10-25
4,1995-10-30
5,1995-11-03
6,1995-11-10
7,1995-11-15
8,1995-11-17
9,1995-11-22
10,1995-11-24
11,2004-04-14
12,1996-10-02
13,2024-11-29
14,2015-07-27
15,2012-05-11
16,2010-03-04
17,2002-08-27
18,2014-01-08
19,1997-03-12
20,2022-12-23
21,2017-08-30
22,2017-07-04
23,2017-06-16
24,2003-04-18
25,1997-12-17
26,2007-04-16
27,2014-03-29
28,2023-01-02
29,2005-11-04
30,2008-02-26
31,2024-01-10
32,2008-07-06
33,2003-06-27
34,1999-08-18
35,2010-12-24
36,2011-04-25
37,2010-09-20
38,2021-05-10
39,2022-04-10
40,2008-01-16
41,1997-01-30
42,1999-08-31
43,1998-01-07
44,2004-08-07
45,2006-09-05
46,2006-02-09
47,2022-06-06
48,1998-02-09
49,2015-05-25
50,2015-01-10
51,2024-02-23
52,2003-10-12
53,2010-04-18
54,2001-12-26
55,2016-09-16
56,2022-05-06
57,2015-06-05
58,2014-10-03
59,2012-10-23
60,2008-09-03
61,2015-04-21
62,2000-09-05
63,1999-06-12
64,2010-07-31
65,1999-09-06
66,2013-03-07
67,2020-05-08
68,2007-02-14
69,2008-05-02
70,2010-11-15
71,1997-07-23
72,2001-08-14
73,2004-09-02
74,2007-07-21
75,2019-10-03
76,2021-06-04
77,2018-07-12
78,2003-08-25
79,2024-04-13
80,2017-10-18
81,2001-12-06
82,1997-11-25
83,2013-12-26
84,2008-10-16
85,2022-01-23
86,2020-12-09
87,2007-08-16
88,2017-04-26
89,1998-02-07
90,2002-11-20
91,1999-03-08
92,2008-05-15
93,2010-02-03
94,2014-02-02
95,2014-12-10
96,2024-06-25
97,1997-12-24
98,1998-01-27
99,2019-12-10
100,2004-01-05
101,2021-10-18
102,1996-09-04
103,2011-08-26
104,1997-03-01
105,2005-12-10
106,2015-11-18
107,2015-05-09
108,2022-04-27
109,1996-09-25
110,2003-05-05
111,2019-06-01
112,2014-12-13
113,1995-12-26
114,2009-03-27
115,2007-07-30
116,2004-07-02
